ondernemingsnummer,bedrijfsnaam,matchende_url
0832 071 542,DE ROMEIN BELGIUM,[]
0832 020 072,WEDIS,[]
0831 268 719,DR. B. VAN DE VEN (PRAKTIJK),[]
0831 186 664,EUROFINS FOOD TESTING BELGIUM,[]
0830 987 023,PEKATHO,[]
0830 817 272,VERPOORT P,[]
0830 729 873,MIERA,[]
0830 070 174,B.S.D. TRADE,[]
0829 824 310,JEROEN FIERS,[]
0829 552 116,LAND- EN TUINBOUWBEDRIJF HOLTAPPELS,[]
0829 167 282,LEGIO IT SERVICES,[]
0828 755 429,STEPUP RGM,[]
0828 536 782,GLOBAL INTERNATIONAL PRODUCTS,[]
0828 354 759,INTEGRATED SERVICE SOLUTIONS HOSPITALS,[]
0827 762 366,DRC SUPERMARKTEN,[]
0826 278 761,NEWMO BEERSE,[]
0826 159 985,SOITEC BELGIUM,[]
0825 961 928,ROLEOS,[]
0825 348 155,LICA LOGISTICS & SERVICES,[]
0825 092 589,A & L INVEST,[]
0823 733 304,VICTOR JOSEPH,[]
0823 579 884,SALES PERFORMANCE INTERNATIONAL EUROPE,[]
0822 661 354,JOOSEN - GODRIE,[]
0822 374 017,HERTIGERS,[]
0821 528 236,KH TRANS,[]
0821 504 579,GRONDWERKEN VAN BAEL,[]
0821 269 603,TRANSPORT VANTOMME,[]
0821 133 902,TROONPAD,[]
0820 804 991,FIRE ENGINEERED SOLUTIONS,[]
0820 477 270,DENIES JURGEN,[]
0819 566 856,LOONWERKEN EYLENBOSCH,[]
0819 488 563,TOXON,[]
0819 387 506,LIMGAZ,[]
0819 351 971,TEAM INDUSTRIAL SERVICES BELGIUM,[]
0817 374 062,AD-AUTOPARTS,[]
0817 022 288,GROLA,[]
0816 793 844,D&G INVEST,[]
0812 381 136,DEWEJA,[]
0812 311 652,CATHOM,[]
0812 181 988,TAFELROND,[]
0812 140 418,GSA INFRA,[]
0811 411 136,AWL TUINDERIJ,[]
0811 329 675,SYMBIORIX,[]
0811 147 058,MASDIK,[]
0811 027 886,AD TERLINDEN,[]
0810 748 566,WHOOHOO BELGIUM FLEX,[]
0810 739 262,SPAR PEETERS,[]
0810 643 648,BHG ANTWERPEN II,[]
0809 973 655,KORDI,[]
0809 620 396,REDGROW,[]
0809 606 837,OHPEN TECHNOLOGY BELGIUM,[]
0809 426 891,LEMINVEST,[]
0809 358 102,LUGANO,[]
0809 286 836,UNIVAN,[]
0809 087 193,DISPACK-PROJECTS,[]
0808 875 377,NSF BELGIUM,[]
0808 770 261,OVO WEST,[]
0808 759 769,HEREMANS M.,[]
0808 237 256,H.D.S. GLASTUINBOUW,[]
0808 224 289,LIATRI,[]
0807 826 490,GESTELBERRIES,[]
0807 817 384,REAL INTERIM,[]
0807 802 637,SUDRIN,[]
0807 777 990,MAXBURG KWEKERIJEN,[]
0807 771 161,FUTURE CLIMA,[]
0807 486 594,BASILIEK,[]
0807 465 117,AUTONOOM GEMEENTEBEDRIJF ZOTTEGEM,[]
0806 925 677,LYTOMA,[]
0806 898 161,BLOESEMFRUIT,[]
0806 869 457,K.S. 1086,[]
0806 586 969,CIMMON,[]
0806 515 903,BROSENS AANNEMINGEN,[]
0806 469 777,PATOMA,[]
0771 543 542,INDUSTRIAL GLASS PROCESSING,[]
0759 598 882,INGAPA,[]
0759 454 174,FLANDERS FOOD SERVICES 1,[]
0758 443 592,UNITIME,[]
0756 750 250,D&W NINOVE,[]
0750 662 412,MERCADELTA,[]
0749 549 583,ROGMANS RETAIL,[]
0746 925 437,D&W RETAIL,[]
0746 662 349,DEN TERRIL,[]
0745 810 729,ZUID FINANCE,[]
0745 751 242,JVL BEERSE,[]
0745 749 955,LVL VOSSELAAR,[]
0743 843 906,BRICAT,[]
0739 910 951,INTERDIS BELGIUM,[]
0738 957 480,LAMBERRIES,[]
0737 749 435,VL DAILYRETAIL,[]
0737 641 844,BLUE OCEAN HOSPITALITY,[]
0736 646 605,TRAXIAL,[]
0736 565 738,HET BLAUWE FORT,[]
0736 509 320,FORTINET BELGIUM BV,[]
0734 995 130,FIRMAN OOSTENDE,[]
0734 975 037,VT LOGISTICS,[]
0733 667 319,RDVR,[]
0732 878 550,NOSTRACLOU,[]
0732 758 685,RVL HOOGSTRATEN,[]
0731 893 704,HAAN,[]
0731 729 297,MJJL 17,[]
0730 758 507,OONA_19,[]
0730 698 426,OFFICENTER SUPPORT HOLDING,[]
0727 702 116,BROCENTER OOST,[]
0725 954 928,SDVR,[]
0720 921 222,ALDI BUSINESS SERVICES,[]
0716 961 048,HTKS,[]
0716 960 553,SF TREMELO,[]
0714 940 577,HUMAN GOLD,[]
0713 586 537,P&DC,[]
0705 823 666,DE WITTE INVESTMENT FUND,[]
0700 334 654,MELLE RETAIL,[]
0698 991 304,BEETROOT INVEST,[]
0697 914 307,CRESCEKOR,[]
0697 665 966,BEYENS TOMATEN,[]
0695 685 978,CARRO-TRANS,[]
0695 658 759,ASS INW MZNL,[]
0691 750 649,EXPLOITATIEMAATSCHAPPIJ MHSL,[]
0689 825 594,MERCAPLAZA,[]
0689 786 794,VETERINARY INNOVATION ALLIANCE,[]
0689 602 989,BERGSEHEYDE,[]
0688 992 186,VR@SEA,[]
0688 871 927,KDVRETAIL,[]
0687 919 941,JANNISA,[]
0687 850 160,4 MAKERS,[]
0685 467 425,ALEGRE IT,[]
0683 849 208,BON BON TOMATOES,[]
0681 925 242,ANISTORES,[]
0681 840 615,MADI,[]
0681 745 296,ANTWERP ZOMERWEG TERMINAL,[]
0681 678 089,COOL DELIVERY BELGIUM,[]
0680 447 476,MKR2,[]
0677 896 673,TL INTERNATIONAL,[]
0677 543 416,SALLAUM LOGISTICS CENTER,[]
0677 481 454,GAVERMAT,[]
0674 791 485,THE TOADI ORDER,[]
0672 981 941,YALELI,[]
0672 906 816,DELWA,[]
0672 887 317,BEVLO,[]
0671 467 553,GWL+,[]
0670 803 203,EUROFINS BIOLOGICAL TESTING BELGIUM,[]
0668 604 865,SEGERS FRUIT,[]
0668 368 404,NOTARIAAT TIM VANDERSTEEN & FILIP MAERTENS,[]
0667 927 647,A&L INVEST,[]
0667 513 616,RECNEPS,[]
0666 774 139,BE BURGER FLANDERS,[]
0665 691 697,EMLI RETAIL,[]
0664 706 059,FOOD EXPERT HASSELT,[]
0663 688 450,MBF 17,[]
0663 533 448,CORIN BELGIUM,[]
0662 991 337,LAUZAN,[]
0662 445 068,EXTERIOO WEST-VLAANDEREN EN WALLONIE,[]
0660 562 377,VF WINERIES,[]
0653 759 115,BELGAWEL,[]
0650 983 826,OIC,[]
0649 492 006,DELIKEYSER,[]
0648 810 927,BRAEMINVEST,[]
0647 813 411,ATELIER CHARLIER VLAANDEREN,[]
0646 879 142,HANOU,[]
0646 697 416,SMART AND EASY,[]
0644 751 476,DL - VH,[]
0643 547 488,VDB HOTELS,[]
0643 457 022,GEJEPA BEHEER,[]
0642 910 258,DSE INTERNATIONAL,[]
0642 525 921,BELLO DOK,[]
0641 972 427,JUST RETAIL BELGIUM,[]
0637 873 879,MAXI DM,[]
0635 777 986,AD BERLAAR,[]
0631 939 063,BLUEFIN MAINTENANCE,[]
0629 754 583,MPRA,[]
0628 963 836,DUOMED HOLDING BENELUX,[]
0607 993 129,BLUEBEE BELGIUM,[]
0607 849 213,ROUE DE PARIS ON TOUR,[]
0598 850 779,FRAEYMAN INVEST,[]
0564 920 377,DE BERGCAT,[]
0563 730 247,MITBO,[]
0563 644 135,INSIDER METRICS,[]
0561 710 172,FENAIR,[]
0559 910 229,DOMETIC BELGIUM AWNINGS,[]
0556 786 928,AARDBEIENKWEKERIJ KENIS,[]
0555 731 905,VALENTINO CHOCOLATIER,[]
0554 690 045,BENELUX-DEWULF,[]
0553 909 095,EUROFINS PROFESSIONAL SCIENTIFIC SERVICES BELGIUM,[]
0552 662 052,DE GLASTUIN,[]
0551 993 940,ZONDI,[]
0550 442 831,JEF PEETERS - RENOVATIES,[]
0548 772 649,DE VRIES RETAIL,[]
0546 970 528,ER-PA FOOD,[]
0546 685 070,MOPAC SYSTEMS BELGIUM,[]
0543 633 431,VENDIS RETAIL,[]
0543 554 148,KADIL,[]
0543 450 121,SABATEL,[]
0537 590 925,PEXIP BELGIUM,[]
0536 998 829,S-C. TRANS,[]
0536 950 428,VIRINUS,[]
0536 631 219,TRADIMUS,[]
0534 393 388,WOLFE,[]
0518 900 708,MCPP BELGIUM,[]
0511 932 346,MERCY,[]
0508 928 118,PANNAERSHOEK,[]
0508 805 481,FEJEC,[]
0508 762 723,SAFAVIEH EUROPEAN LOGISTIC CENTER,[]
0508 735 207,JAM MAAS & KEMPEN,[]
0508 631 475,LASE BRUGGE,[]
0508 525 270,FLORIGROW,[]
0508 445 987,DARCQ,[]
0506 755 021,PP 2.0,[]
0501 571 360,SUYKERBUYK BERT,[]
0479 912 448,JOVANY,[]
0479 906 906,JANSSEN,[]
0479 814 557,PELTIJN AGRI,[]
0479 803 174,SMARTBIT,[]
0479 644 808,KAINA'M,[]
0479 472 186,HERMOD,[]
0479 361 330,SMEULDERS LOGISTICS,[]
0479 221 966,NOTARIELE BESTUURSVENNOOTSCHAP LUC MOORTGAT,[]
0479 184 948,NMT BELGIUM,[]
0478 966 501,BELISTYLE,[]
0478 825 355,TVX,[]
0478 751 319,HUSAGRO,[]
0478 622 546,BELGIAN MATS,[]
0478 605 423,JASPAERT GEERT,[]
0478 407 067,SIALKA,[]
0478 386 380,HERMES MANAGEMENT & CONSULTANCY,[]
0478 238 110,TST BELGIUM,[]
0478 187 729,HEULCO,[]
0478 011 941,BURO3VD,[]
0477 977 594,B S X,[]
0477 693 722,MABRI,[]
0477 549 410,SOLANI,[]
0477 371 048,GIMALO,[]
0477 107 069,VAN BAELEN EN ZONEN,[]
0476 985 523,DELGA INVEST,[]
0476 658 790,HOKOTRANS,[]
0476 384 222,RIKAL,[]
0476 301 771,STARLINE C.L.O.,[]
0476 261 288,NEURAUTER,[]
0476 015 325,DEN BREYN,[]
0475 948 316,BOUWRAMA,[]
0475 731 055,ALIMBATTICE,[]
0475 623 167,EMANUELA,[]
0475 587 832,CHP,[]
0475 577 538,JRL SERVICES,[]
0475 548 735,VEULEMANS FRUIT,[]
0475 377 402,JANSEN JAN,[]
0475 354 537,DR. B. NICKMANS,[]
0475 069 574,BELGIAN FLUID SYSTEM TECHNOLOGIES,[]
0474 989 895,KERKHOVE,[]
0474 981 185,TOMAVER,[]
0474 931 202,ECO INVEST FINANCE,[]
0474 809 357,ABBOU TRADING COMPANY,[]
0474 783 623,WITMO,[]
0474 640 794,CREA CONSTRUCT,[]
0474 282 884,GREEFS EN ZONEN,[]
0474 243 094,MOLTO PLUS,[]
0474 185 983,EMANUEL SPRIET,[]
0474 104 722,MULTYMAT,[]
0474 001 782,FRUITWERK,[]
0473 999 705,J. GOYVAERTS,[]
0473 962 487,ULUDAG FOOD,[]
0473 959 123,BOSTOEN TUINBOUWBEDRIJF,[]
0473 907 257,ENVIRONMENTAL STRATEGICAL ADVICE,[]
0473 901 814,SUELGA,[]
0473 890 926,KRIKATO,[]
0473 781 850,SUPERETTE A.C.,[]
0473 658 324,H & G TECHNICS,[]
0473 587 652,CLASSIC-GROUP,[]
0473 582 209,STEEN ELEKTRICITEIT,[]
0473 446 013,BREYDEL AMUSEMENT,[]
0473 179 658,NEW PLAFITTCO,[]
0473 047 917,GRONDWERKEN B.M.V.,[]
0472 635 468,AJLM,[]
0472 361 690,WARWASH,[]
0472 289 931,PROJECTBOUW BORGONJON,[]
0471 509 971,ROVAK,[]
0471 286 673,HERMANS KRIS,[]
0471 159 880,YOUNG & PARTNERS BELGIUM/NAVITRANS BELUX,[]
0469 641 039,YVES MAENHOUT,[]
0468 766 653,VITAETOM,[]
0468 461 401,BANK- EN VERZEKERINGSAGENT WESTKUST,[]
0468 307 090,ATMAP,[]
0468 210 684,KORFINA DEVELOPMENT CENTER,[]
0467 715 093,STEFCO,[]
0467 504 663,RIKTRANS,[]
0467 256 225,HENDRYCKX BOUWMATERIALEN,[]
0467 075 883,BELFRESCA,[]
0466 978 289,BELLE VITA,[]
0466 912 765,ALBATROS,[]
0466 632 950,VAN SCHOUBROEK MOTORS,[]
0466 460 726,BANK- EN VERZEKERINGSAGENT KORTRIJK-MENEN-IEPER,[]
0466 413 018,MEES SORT,[]
0466 256 927,HUNTSMAN (BELGIUM),[]
0466 255 541,MDCPARTNERS,[]
0466 253 561,BOGROW,[]
0466 202 487,REDERIJ AEGIR,[]
0466 161 907,HENDRICKX HOLDING,[]
0466 069 954,VAPTRANS,[]
0466 037 191,IYUNO BELGIUM,[]
0466 031 451,CIRCUS RASTELLI,[]
0465 981 565,LOUIS DREYFUS COMPANY BELGIUM,[]
0465 924 949,WARTRANS,[]
0465 832 008,KINDRED BELGIUM,[]
0465 695 317,INFRA GROEP FRIJTERS,[]
0465 550 510,PANACHE EUROPE,[]
0465 448 758,TRAVERBO,[]
0465 413 225,ESPACE KWESTO,[]
0465 372 247,REDERIJ LONG SHIPS,[]
0465 286 333,MELAER,[]
0464 910 211,LINDAB-LINDAB BELGIUM-LINDAB BELGIE -LINDAB BELGIQUE,[]
0464 554 477,IM ASSOCIATES,[]
0464 206 861,BANK- EN VERZEKERINGSAGENT REGIO AALST,[]
0464 140 248,ALGRE FOOD,[]
0463 098 091,OVERSTEENSE HOEVE,[]
0462 587 654,BERVANCO,[]
0462 570 630,IMPORIO,[]
0462 405 334,CEULEMANS SLACENTER,[]
0462 308 136,KLINISCH LABORATORIUM AZM,[]
0462 162 339,SCHELCK - HUWAERT,[]
0462 150 659,BELGIAN BOILER COMPANY,[]
0462 092 855,DIPLUS,[]
0461 988 828,BNE TRADING & RECYCLING,[]
0461 904 595,BRUGSE VISROKERIJ F. ALLOO,[]
0461 902 914,GEBROEDERS VAN DEN BROECK,[]
0461 756 622,WALGOED,[]
0461 641 014,DEGRA - TRANS,[]
0461 515 706,HOUVARK,[]
0461 345 559,VANDEPUTTE BOOMKWEKERIJ,[]
0461 089 401,VAN DE PUTTE SYLVIA,[]
0461 079 404,CAL-O-MATIC DISTRIBUTION,[]
0460 956 371,STOCKHABO LOMMEL BEHEER,[]
0460 648 941,MATRIX,[]
0460 644 585,MULTI CONSTRUCTION,[]
0460 488 001,ECO BELGIUM,[]
0460 474 143,PATIENT TRANSPORT SYSTEMS,[]
0460 193 041,O.D. - TRANS,[]
0460 179 777,JEFAN,[]
0460 083 569,TRUCK PARKING EN HANDLING COMPANY,[]
0460 017 649,VERHOEST & DECORTE,[]
0459 961 330,UNION MULTISERVICE,[]
0459 901 843,POESKAFFEE,[]
0459 843 643,JEKATRANS,[]
0459 831 270,GEFRA INVEST,[]
0459 739 517,NORTHLANDT,[]
0459 577 189,ENVIRON BENELUX,[]
0459 264 217,CREELLE-CLGTRANS,[]
0459 114 559,HODEC,[]
0459 017 163,J. VAN DER ELST,[]
0458 991 033,SEKRITO,[]
0458 932 041,LUC & WIM VAN DE POEL,[]
0458 454 464,DELTRAN,[]
0458 420 812,BAYSA,[]
0458 197 514,DEBRATRANS,[]
0458 012 323,NINOOFSE BETONCENTRALE,[]
0457 943 037,EYE-LITE BELGIUM -VL,[]
0457 867 813,E.G.C.,[]
0457 831 189,PUBLIPRINT VAN HOLLEBEKE,[]
0457 659 856,T.D.M. PRODUCTS BELGIUM,[]
0457 574 338,MERCADINO,[]
0457 194 652,A. HARTRODT (BELGIUM) AIRFREIGHT,[]
0457 171 787,CAVALIER,[]
0456 901 672,GENERAL TRAILER MAINTENANCE BELGIUM,[]
0456 887 123,ORAKEL,[]
0456 860 595,REDERIJ CREVITS,[]
0456 846 640,DE GROOTE - VAN BRUSSEL,[]
0456 775 473,BANK- EN VERZEKERINGSAGENT REGIO GENT,[]
0456 605 427,FCA SERVICES BELGIUM,[]
0456 521 986,CBR FASHION BELGIUM,[]
0456 442 111,ATLANTIS D'E,[]
0456 422 711,VYDEBO,[]
0456 320 959,DISTRI TAVEIRNE,[]
0456 262 561,NIEUWE STRAETE,[]
0456 141 708,BOUWBEDRIJF WECKX - VAN PELLICOM,[]
0456 009 767,BELFRU,[]
0455 975 818,MEDICAR,[]
0455 845 461,LUMARDO,[]
0455 684 917,ENVIRONMENTAL INDUSTRIAL POWER APPLICATIONS,[]
0455 623 351,TRANSPORTS MATTON,[]
0455 561 785,SCHALANE,[]
0455 457 659,UNIC HERENT,[]
0455 411 436,KRUISKIP,[]
0455 357 788,JAN DE RIJK RETAIL BELGIUM,[]
0455 290 581,DE RIJCK VOEDING,[]
0455 164 679,ADDIS,[]
0454 687 104,R EN G EQUIPMENT,[]
0454 268 321,ALL AUTOMOBIL SERVICES,[]
0454 165 381,BOUWWERKEN ALBERT JANSEN,[]
0453 854 981,PROPAGANDA,[]
0453 789 160,LR - COSMETIC BELGIEN GESELLSCHAFT,[]
0453 673 651,UNITED ACCOUNTANTS,[]
0453 259 521,RUMCO,[]
0453 232 993,AUTOMATISATIE EN BESTURINGEN MAERTENS,[]
0453 222 107,LMCHOP,[]
0452 991 483,BANDEN RECA PNEUS,[]
0452 920 120,RUBY,[]
0452 868 947,JONCKVANSTEEN SPINNERIJ,[]
0452 683 261,KCI POLYMEDICS,[]
0452 628 229,COPARSEL,[]
0452 477 680,D.O.S. KNITTING INTERNATIONAL,[]
0451 961 602,KUNSTSTOFWERKEN ERBA,[]
0451 906 964,BIO MINERALS,[]
0451 742 262,COMPASS PROJECTONTWIKKELING,[]
0451 605 967,J. PEETERS TRANSPORT,[]
0451 511 244,BORREMANS,[]
0451 478 580,DOVER,[]
0450 910 537,DE KORRELATIE,[]
0450 845 112,PALLETS.BE,[]
0450 766 423,PIGOU,[]
0450 755 634,RESIDENTIE,[]
0450 627 554,CTD,[]
0450 616 270,TRANSPORT WYBO,[]
0450 383 272,CYLINDER FILLING,[]
0450 381 688,CENTRE,[]
0450 312 008,GERECHTSDEURWAARDERS BRUGGE-TORHOUT-OOSTENDE,[]
0450 099 497,INDOOR COLLECTION,[]
0449 645 577,T.B.O. PITTORI,[]
0449 445 639,KAOLIN INTERNATIONAL,[]
0449 277 274,COMODELL,[]
0449 152 758,Q-BUS ARCHITECTENBUREAU,[]
0449 124 648,EXOFRUITS,[]
0449 011 812,VLEESGROOTHANDEL HAUSPIE,[]
0448 783 465,VANCOBER,[]
0448 770 993,DOERAMA,[]
0448 560 365,PETITQUEUX - POLLET,[]
0448 258 279,BECATRANS,[]
0448 135 842,A.D. FRESH - MEAT,[]
0448 125 449,GM COMPANY STORES BELGIE,[]
0447 987 867,ORINOCO,[]
0447 878 494,POLYTEC CAR STYLING SCHOTEN,[]
0447 845 436,HOTELIMMO-ANTWERPEN,[]
0447 665 193,FUNWEAR,[]
0447 369 344,V.W. TUINDERIJEN,[]
0447 300 949,ESCA FOOD-SERVICE,[]
0447 223 646,VOEDERS DEBAEKE,[]
0447 174 849,TROBEJA,[]
0447 149 808,ANCKAERT CONFECTIE,[]
0447 094 774,PANELFLEX,[]
0446 401 621,JOCRIS,[]
0446 337 283,BEL IT CORPORATION,[]
0446 301 255,VOYAGES BELTUR,[]
0445 266 127,LOCK-ATIONS,[]
0445 203 571,B.V.B.A. NOEL DE WAELE,[]
0445 043 720,ROSCOFIN,[]
0444 991 854,SUPER CLAEYS,[]
0444 926 132,ORTELEC,[]
0444 853 084,HERDI,[]
0444 594 253,AUDENAERT LUC EN DIRK,[]
0444 455 384,CENTRA JANSSENS,[]
0444 169 136,ADIRACK,[]
0444 151 023,LUMVO,[]
0443 933 267,INVEST VERVENNE,[]
0443 899 516,F.F. COMPANY,[]
0443 511 120,MEAT & STORAGE DC,[]
0443 468 756,LOFMA,[]
0442 618 225,SCHAUVLIEGE J.E. IMPORT - EXPORT,[]
0442 354 642,IMMOVATA,[]
0442 279 814,MARKARINO,[]
0442 004 056,BAKKERIJ THYSSEN,[]
0441 996 633,ANWE,[]
0441 991 782,RIVB INVEST,[]
0441 924 872,VAN DE VELDE PETER,[]
0441 764 229,LANNOO J. & ZN,[]
0441 679 701,PUBLIROUTE,[]
0441 512 920,BETON EXPRESS,[]
0441 459 272,VANROOCO,[]
0441 456 502,DEVOOGHT - VERLEYE,[]
0441 436 112,B.C.S. INVESTISSEMENT,[]
0441 080 477,SMET KONSTRUKT,[]
0440 879 945,JANSSEN - CLAES,[]
0440 624 973,BOERBOOM MATRIJZENBOUW,[]
0440 436 814,SANPA - INDUSTRIES,[]
0440 418 008,WYCKMAN CORPORATION,[]
0440 405 635,VERGO - KWEKERIJEN,[]
0440 352 581,DEGA HOTEL,[]
0440 346 841,REDERIJ MARCO,[]
0440 315 761,MEPETOM,[]
0440 186 889,TRIJOLEX,[]
0439 641 612,FINIDAN,[]
0439 333 784,MERLIN,[]
0439 310 525,SUPER TONGEREN,[]
0439 282 217,MASSAFRIT,[]
0438 958 058,TB,[]
0438 720 805,HEYFURN,[]
0438 457 024,DBR TRANS,[]
0438 298 260,LIMA,[]
